name,dba,street,city,state,zip,gridX,gridY
LITTLE GREEN PHARMACY INC,,1331 South Broadway,Denver,CO,80210,,
LIVE GREEN CONSULTING LLC,,4000 MORRISON ROAD,Denver,CO,80209,,
LIVWELL I LLC,LIVWELL,"2647 8th Avenue, Unit B",Garden City,CO,80631,,
LIVWELL II LLC,LIVWELL,570 North Murray Boulevard,Colorado Springs,CO,80915,,
LIVWELL III LLC,LIVWELL,2193 West Evans Avenue,Denver,CO,80223,,
LOTUS MEDICAL II LLC,,"3107 28th Street, Unit B",Boulder,CO,80304,,
LOTUS MEDICAL LLC,,1125 South Inca Street,Denver,CO,80223,,
LYONS FINEST CONFIDENTIAL CARE LLC,,4071 Ute Highway,Longmont,CO,80503,,
LYONS FINEST CONFIDENTIAL CARE LLC,TUMBLEWEED,11080 East 47th Avenue,Denver,CO,80239,,
MADISON ENTERPRISES LLC,PINK HOUSE CHERRY,"111 South Madison Street, Suite 111",Denver,CO,80209,,
MAGGIES FARM LLC,MAGGIE'S FARM,1424 South Nevada Avenue,Colorado Springs,CO,80906,,
MAGGIES FARM LLC,MAGGIE'S FARM,"74 North Component Drive, Suite 170",Pueblo West,CO,81007,,
MAGNA MARKETING INC,HERBS 4 YOU,20 East 9th Avenue,Denver,CO,80203,,
MAGNOLIA ROAD INC,MAGNOLIA ROAD CANNABIS COMPANY,"1750 30th Street, Unit 84",Boulder,CO,80301,,
MARI MEDS INC,,222 East Moreno Avenue,Colorado Springs,CO,80903,,
MARISOL THERAPEUTICS LLC,,922 East Kimble Drive,Pueblo West,CO,81007,,
MARTINS NATURAL MEDICINALS LLC,MEDICINE MAN OF GLENWOOD SPRINGS,"7800 Hwy 82, Unit 104",Glenwood Springs,CO,81601,,
MARYS LLC,MARY'S LLC,200 S. Sharp Avenue,Oak Creek,CO,80467,,
MASSAGE SPECIALISTS DENVER LLC,HERBAN MEDICINALS,"70 Broadway, Suite 50",Denver,CO,80203,,
MAYFLOWER GROUP LLC,THE HEALTH CENTER,1736 Downing Street,Denver,CO,80218,,
MBLDS LLC,DYL'S PLACE,"1101 Academy Court, Suite 4",Fort Collins,CO,80524,,
MBS WELLNESS CLINIC LLC,MIND BODY SPIRIT WELLNESS CLINIC,6745 West Mississippi,Lakewood,CO,80226,,
MED STOP LLP,DENVER MED STOP,5926 East Colfax Avenue,Denver,CO,80220,,
MEDIBIS LLC,,3701 North Nevada Avenue,Colorado Springs,CO,80907,,
MEDICAL CANNABIS CAREGIVERS INC,MC CAREGIVERS,"6020 Erin Park Drive, Unit A",Colorado Springs,CO,80918,,
"MEDICAL CANNABIS COLORADO, LLC","MEDICAL CANNABIS COLORADO, LLC","6200 East Yale Avenue, Unit B",Denver,CO,80222,,
MEDICAL MARIJUANA OF THE ROCKIES LLC,,"720 Summit Boulevard, Suite 101A",Frisco,CO,80443,,
MEDICAL MJ SUPPLY LLC,Medical MJ Supply,4800 Lamar Street,Wheat Ridge,CO,80033,,
MEDICAL MJ SUPPLY LLC,MEDICAL MJ SUPPLY,4845 Van Gordon Street,Wheat Ridge,CO,80033,,
MEDICAL MJ SUPPLY LLC,BEST COLORADO MEDS,810 North College Avenue,Fort Collins,CO,80524,,
MEDICINAL WELLNESS CENTER LLC,MEDICINAL OASIS LLC,6359 East Evans Avenue,Denver,CO,80222,,
MEDICINE MAN LLC,EMERALD MEDICINE,4966 Leetsdale Drive,Glendale,CO,80246,,
MEDICINE MAN PRODUCTION CORPORATION,MEDICINE MAN DENVER,"4750 Nome Street, Suite B",Denver,CO,80239,,
METRO CANNABIS INC,METRO INC,8151 East Colfax Avenue,Denver,CO,80220,,
METRO DENVER TELLURIDE HEALTH CENTER LLC,THE HEMP CENTER,2430 West Main Street,Littleton,CO,80120,,
METROPOLIS MEDICAL LLC,METROPOLIS MEDICAL,4600 Ironton Street,Denver,CO,80239,,
MHSDGO LLC,MEDICAL HORTICULTURAL SERVICES,"789 Tech Center Drive, Unit E",Durango,CO,81301,,
MIKE SQUARED LLC,BOULDER MARIJUANA COMPANY,"2111 30th Street, Unit A",Boulder,CO,80301,,
MILAGRO WELLNESS HEALING LLC,MIND BODY SPIRIT 2,2237 County Road 314,Idaho Springs,CO,80452,,
MILE HIGH DISPENSARY LLC,,"1350 South Sheridan Boulevard, Unit 1",Denver,CO,80232,,
MILE HIGH GREEN CROSS LLC,,852 North Broadway,Denver,CO,80203,,
MILE HIGH HOLISTICS LLC,MILE HIGH HOLSITICS LLC,198 County Line Road,Palmer Lake,CO,80133,,
MILE HIGH MEDICAL CANNABIS LLC,,1705 Federal Boulevard,Denver,CO,80204,,
MILE HIGH MEDICAL LLC,MMJ AMERICA DOWNTOWN,2042 Arapahoe Street,Denver,CO,80205,,
MILE HIGH REMEDIES LLC,DOCTOR'S ORDERS,2106 East Boulder Street,Colorado Springs,CO,80909,,
MILE HIGH THERAPEUTIC NETWORK LLC,MILE HIGH THERAPEUTICS,1568 South Federal Boulevard,Denver,CO,80219,,
MILE HIGH WELLNESS II LLC,MILE HIGH WELLNESS-GREEN STREET,2291 South Kalamath Street,Denver,CO,80223,,
MILE HIGH WELLNESS LLC,MILE HIGH WELLNESS,3525 South Tamarac Drive Suite 110,Denver,CO,80237,,
MMCC LLC,MEDICAL MARIJUANA CENTER OF CARBONDALE,60 North 3rd Street,Carbondale,CO,81623,,
MMD OF COLORADO LLC,MMD OF COLORADO LLC,2609 Walnut Street,Denver,CO,80205,,
MMD OF COLORADO LLC,,3954 Williams Street,Denver,CO,80205,,
MMJ AMERICA INC,BOULDER MMJ,"1909 Broadway Street, Suite LL,",Boulder,CO,80305,,
MML LLC,HOLISTIC HEALTHCARE,0105 Edwards Village Blvd E202,Edwards,CO,81632,,
MMST LLC,WELLSPRING COLLECTIVE,1724 South Broadway,Denver,CO,80210,,
MODERN MEDICINE LLC,ALTITUDE ORGANIC MEDICINE,523 South Tejon Street,Colorado Springs,CO,80905,,
MOTHER NATURES MIRACLE LLC,,315 West Littleton Boulevard,Littleton,CO,80120,,
MOUNTAIN HIGH WELLNESS III LLC,COLORADO HARVEST MOON,1890 South Wadsworth Boulevard,Lakewood,CO,80232,,
MOUNTAIN MED CLUB LLC,,22 South Chestnut Street,Colorado Springs,CO,80905,,
MOUNTAIN MEDICINALS INC,MOUNTAIN MEDICINALS WELLNESS CENTER,"1800 Colorado Boulevard, Suite 5,",Idaho Springs,CO,80452,,
MR GOOD BUDZ LLC,HOLISTIC LIFE,1395 South Sheridan Boulevard,Lakewood,CO,80232,,
NATURAL ALTERNATIVES FOR HEALTH LLC,NATURAL ALTERNATIVES FOR HEALTH,"6712 South College Avenue, #5",Fort Collins,CO,80525,,
NATURAL ALTERNATIVES FOR LIFE LLC,NATURAL ALTERNATIVES FOR LIFE LLC,1090 North 2nd Street,Berthoud,CO,80513,,
NATURAL CHOICE CO-OP,,"2835 Downhill Plaza, Unit 603,",Steamboat Springs,CO,80487,,
NATURAL MYSTIC CANNABIS CAREGIVERS LLC,NATURAL MYSTIC CANNABIS CAREGIVERS LLC,"416 E. Colorado Avenue, Suite 101",Colorado Springs,CO,80903,,
NATURES BEST LLC,,4601 East Mississippi Avenue,Glendale,CO,80246,,
NATURES CURE III LLC,,"1500 East Colfax Avenue,",Denver,CO,80218,,
NATURES CURE LLC,,4283 West Florida Avenue,Denver,CO,80219,,
NATURES HERBS & WELLNESS CENTER,NATURES HERBS & WELLNESS CENTER,522 27th Street,Garden City,CO,80631,,
NATURES KISS CANNABIS SERVICES HEALTH & WELLNESS,NATURES KISS,4332 South Broadway,Englewood,CO,80113,,
NATURES OWN WELLNESS CENTER,,927 Highway 3,Durango,CO,81301,,
NATURES WAY WELLNESS CENTER INC,KUSH GARDENS,5012 North Academy Blvd,Colorado Springs,CO,80918,,
NATURES WAY WELLNESS CENTER INC,KUSH GARDENS,"2815 North El Paso Street, Unit D",Colorado Springs,CO,80907,,
NEW AGE MEDICAL LLC,NEWAGE MEDICAL LLC,2553 Sheridan Boulevard,Edgewater,CO,80214,,
NEW WORLD ALTERNATIVE HEALTHCARE LLC,,135 South Spruce Street,Telluride,CO,81435,,
"NORTH FEDERAL, LLC",THE GROVE,74 Federal Boulevard,Denver,CO,80219,,
NORTHERN LIGHTS NATURALS LLC,NORTHERN LIGHTS CANNABIS CO.,"2045 Sheridan Boulevard, Suite B",Edgewater,CO,80214,,
NUTRITIONAL ELEMENTS INC,THE HEALTH CENTER,2777 South Colorado Boulevard,Denver,CO,80222,,
NUTRITIONAL SUPPLEMENTS LLC,PEACE IN MEDICINE CENTER,2647 W. 38th Avenue,Denver,CO,80211,,
NUTRITIONAL SUPPLEMENTS LLC,RED EYED RAM,"1228 W. Elizabeth Street, Unit D8",Ft Collins,CO,80521,,
O LIMITED,THE CANARYS SONG,1 W 1st Street Suite 1D,Nederland,CO,80466,,
OPTIONS MEDICAL CENTER LLC,COLORADO CULTIVATORS ASSOCIATION,1534 55th Street,Boulder,CO,80301,,
OPTIONS MEDICAL CENTER WR LLC,,9085 West 44th Avenue,Wheat Ridge,CO,80033,,
ORGANIC ALTERNATIVES LLC,Organic Alternatives LLC,346 E Mountain Avenue,Ft Collins,CO,80524,,
ORGANIC GREENS INC,NATURAL REMEDIES,1620 Market Street,Denver,CO,80202,,
ORGANIC SOLUTIONS INC,,"74 North McCulloch Boulevard, Suite 120,",Pueblo West,CO,81007,,
ORGANIC WELLNESS DISPENSARY LLC,GREEN TREE MEDICINALS,"5565 Arapahoe Avenue, Suite G",Boulder,CO,80303,,
ORGANIX LLC,BRECKENRIDGE ORGANIX,"1795 Airport Road, Suite A2",Breckenridge,CO,80424,,
ORIGINAL CANNABIS GROWERS LLC,,2625 East St. Vrain #A,Colorado Springs,CO,80909,,
P&C EXPRESS LLC,COLOMED,4860 North Townsend Avenue,Montrose,CO,81401,,
P2C3 LLC,THE SECRET STASH,"2845 Ore Mill Road, Unit 6",Colorado Springs,CO,80904,,
PAIN MANAGEMENT OF GOVERNORS PARK LLC,THE CLINIC CAPITAL HILL,745 East 6th Avenue,Denver,CO,80203,,
PAIN MANAGEMENT SOLUTIONS LLC,PAIN MANAGEMENT SOLUTIONS LLC,1022 South Royer Street,Colorado Springs,CO,80903,,
PATIENTS CHOICE OF COLORADO LLC,PATIENTS CHOICE OF COLORADO,7063 West Colfax Avenue,Lakewood,CO,80214,,
PATIENTS CHOICE OF COLORADO LLC,PATIENTS CHOICE OF COLORADO,2251 S. Broadway,Denver,CO,80203,,
PATIENTS PLUS LLC,EARTH GROUP COLORADO,4493 Washington Street,Denver,CO,80215,,
PEAK HOLDINGS GROUP LLC,PEAK,260 Broadway,Denver,CO,80203,,
PEARL CENTER LLC,PINK HOUSE PEARL,1445 South Pearl Street,Denver,CO,80210,,
PERSONALIZED ORGANIC TREATMENTS LLC,PERSONALIZED ORGANIC TREATMENTS,219 Vallejo Street,Denver,CO,80223,,
PHYSICIAN PREFERRED PRODUCTS LLC,,2100 East 112th Avenue Suite 5,Northglenn,CO,80233,,
PIKES PEAK ALTERNATIVE HEALTH & WELLNESS CENTER INC.,,"1605 South Tejon Street, Suite 101",Colorado Springs,CO,80905,,
PIKES PEAK CANNABIS CAREGIVERS LLC,PIKES PEAK CAREGIVERS,3715 Drennan Road,Colorado Springs,CO,80910,,
PLATTE VALLEY DISPENSARY LLC,,"2301 7th Street, Suite B",Denver,CO,80211,,
PND LLC,A CUT ABOVE,1150 East Fillmore Street,Colorado Springs,CO,80907,,
POSTMODERN HEALTH LLC,,5660 West Alameda Avenue,Lakewood,CO,80226,,
PREFERRED ORGANIC THERAPY & WELLNESS LLC,PREFERRED ORGANIC THERAPY & WELLNESS,1569 South Colorado Blvd,Denver,CO,80222,,
PRISY & ASSOCIATES LLC,THE HEALTHY CONNECTIONS,1602 West Colorado Avenue,Colorado Springs,CO,80904,,
PUEBLO WEST ORGANICS LLC,,"609 East Enterprise Drive, Suite 140",Pueblo West,CO,81007,,
PURE MEDICAL LLC,,19 North Tejon Street Suite 108,Colorado Springs,CO,80903,,
PURE MEDICAL LLC,,"207 Rockrimmon Blvd, Unit C",Colorado Springs,CO,80919,,
QUALITY CHOICE ALTERNATIVE CARE CENTER LLC,QUALITY CHOICE,2398 East Boulder Street,Colorado Springs,CO,80909,,
RIFLE MOUNTAIN LLC,"RIFLE MOUNTAIN DISPENSARY, INC.",124 West 3rd Street,Rifle,CO,81650,,
RIFLE REMEDIES LLC,GREEN CROSS RIFLE,"120 East Third Street, Suite A",Rifle,CO,81650,,
RINO SUPPLY CO INC,RINO SUPPLY CO INC.,3100 Blake Street,Denver,CO,80205,,
RIVERROCK LLC,RIVERROCK,4935 York Street,Denver,CO,80216,,
RIVERSIDE WELLNESS LLC,RIVERSIDE WELLNESS,3722 Chestnut Place,Denver,CO,80216,,
RK ENTERPRISES LTD,ROCKY MOUNTAIN REMEDIES,"2730 Downhill Plaza, #106",Steamboat Springs,CO,80487,,
RMCR CORPORATION,BOULDER BOTANICS,"1750 30th Street, Unit 7",Boulder,CO,80301,,
RME GROUP LLC,,7739-7741 East Colfax Avenue,Denver,CO,80220,,
RMIG LLC,THE BUD DEPOT,138 Main Street,Lyons,CO,80540,,
ROCKY MOUNTAIN CANNABIS INC,,465 Valley Road,Canon City,CO,81212,,
ROCKY MOUNTAIN CAREGIVERS INC,THE GREEN SOLUTION,2601 West Alameda Avenue,Denver,CO,80219,,
ROCKY MOUNTAIN FARMACY INC,,2420 South Colorado Boulevard,Denver,CO,80222,,
ROCKY MOUNTAIN FARMACY INC,THE SHELTER,4095 Jackson Street,Denver,CO,80216,,
"ROCKY MOUNTAIN HIGH MMJ, LLC",HIGHER GROUND MMC,2215 East Mississippi Avenue,Denver,CO,80210,,
ROCKY MOUNTAIN HIGH PAIN MANAGEMENT INC,ROCKY MOUNTAIN HIGH PAIN MANAGEMENT INC,"0105 Edwards Village Blvd, Unit C104",Edwards,CO,81632,,
ROCKY MOUNTAIN MEDICAL LLC,,616 Arrawanna Street,Colorado Springs,CO,80909,,
ROCKY MOUNTAIN MIRACLES LLC,,2316 East Bijou Street,Colorado Springs,CO,80909,,
ROCKY MOUNTAIN ORGANIC MEDICINE INC,,511 Orchard Street,Golden,CO,80401,,
ROCKY MOUNTAIN RETAIL MANAGEMENT LLC,ROCKY MOUNTAIN HIGH,11455 Washington Street,Northglenn,CO,80233,,
ROCKY MOUNTAIN WAYS LLC,GOOD MEDS LAKEWOOD,8420 West Colfax Avenue,Lakewood,CO,80215,,
ROCKY ROAD REMEDIES LLC,ROCKY ROAD NORTH,3995 North Academy Blvd.,Colorado Springs,CO,80917,,
ROCKY ROAD REMEDIES LLC,ROCKY ROAD WEST,1528-1530 South Nevada Avenue,Colorado Springs,CO,80906,,
ROCKY ROAD REMEDIES LLC,,586 South Academy Boulevard,Colorado Springs,CO,80910,,
SENSE OF HEALING LLC,,1005 Federal Blvd,Denver,CO,80204,,
SERENDIPITY ENTERPRISES INC,SATICA,"3480 S Galena Street, B-4",Denver,CO,80231,,
SERENE WELLNESS FRASER LLC,,228 Byers Avenue,Fraser,CO,80442,,
SERENITY MOON WELLNESS CENTER LLC,FROSTED LEAF,50 Lipan Street,Denver,CO,80223,,
SERENITY MOON WELLNESS CENTER LLC,FROSTED LEAF,6302 East Colfax Avenue,Denver,CO,80220,,
SISSCO LLC,TRENCHTOWN,734 Sheridan Boulevard,Denver,CO,80214,,
SKINNY PINEAPPLE INC,THE FARM,2801 Iris Avenue,Boulder,CO,80301,,
SLAM ENTERPRISES LLC,NATURALEAF,1004 S. Tejon Street,Colorado Springs,CO,80903,,
SOLACE MEDS LLC,SOLACE MEDS LLC,"301 Smokey Street, Unit A",Fort Collins,CO,80525,,
SOULSHINE MEDICAL CONSULTING LLC,,"1805 Airport Road, Unit B3",Breckenridge,CO,80424,,
"SOUTHERN COLORADO MEDICAL MARIJUANA, LLC","SoCo MMJ, LLC",3410 North Prospect Street,Colorado Springs,CO,80907,,
SOUTHWEST ALTERNATIVE CARE LLC,SOUTHWEST ALTERNATIVE CARE LLC,3937 West Colfax Avenue,Denver,CO,80204,,
STANDING AKIMBO LLC,ABLAZE,3801 West Jason Street,Denver,CO,80211,,
STONE TMC LLC,THE STONE DISPENSARY,4820 Morrison Road,Denver,CO,80219,,
SUMMIT WELLNESS LLC,SUMMIT WELLNESS,"2117 Larimer Street, #1",Denver,CO,80205,,
"SUNRISE SOLUTIONS, LLC",,43 Main Street,Bailey,CO,80421,,
SUSTAINABLE HEALTH LLC,14ER HOLISTICS,"2897 Mapleton Ave, Suite 800",Boulder,CO,80301,,
SWEET LEAF LLC,SWEET LEAF,5100 West 38th Avenue,Denver,CO,80212,,
SWEET LEAF PIONEER,,1286 Chambers Avenue #105,Eagle,CO,81631,,
SWEETWATER PARTNERS LLC,GOOD CHEMISTRY,330 E. Colfax Avenue,Denver,CO,80203,,
SWISS MEDICAL INDUSTRIES LLC,BUDDY BOY,4012 West 38th Avenue,Denver,CO,80212,,
TABLE MESA WELLNESS CENTER LLC,NORTH BOULDER WELLNESS CENTER,1495 Yarmouth Avenue,Boulder,CO,80304,,
TELLURIDE GREEN ROOM LLC,TELLURIDE GREEN ROOM,"250 S. Fir Street, Units 5 & 6",Telluride,CO,81435,,
TENBELLS INC,MEDICINE MEN NATURAL REMEDY,880 Marilyn,Penrose,CO,81240,,
TETRA HYDRO CENTER LLC,TETRA HYDRO CENTER,9206 E. Hampden Avenue,Denver,CO,80231,,
THE ACCEPTUS GROUP LLC,,"555 Rivergate Lane, Suite B2-135",Durango,CO,81301,,
THE CLONE STORE LLC,,755 South Federal Boulevard,Denver,CO,80219,,
THE DANDELION LLC,THE DANDELION,845 Walnut Street,Boulder,CO,80302,,
THE GENETIC LOCKER INC,,"5370 Manhattan Circle, Suite 104",Boulder,CO,80303,,
THE GIVING TREE OF DENVER LLC,THE GIVING TREE OF DENVER,2707 West 38th Avenue,Denver,CO,80211,,
THE GREEN HOUSE INC,,"410 S. 8th Street, Unit B",Colorado Springs,CO,80905,,
THE GREEN SOLUTION LLC,THE GREEN SOLUTION,470 Malley Drive,Northglenn,CO,80233,,
THE GREEN SOLUTION LLC,THE GREEN SOLUTION LLC,4400 Grape Street,Denver,CO,80216,,
THE GREENER SIDE CAREGIVING AND WELLNESS LLC,,3321 Interstate 25 South,Pueblo,CO,81004,,
THE GREENERSIDE WEST LLC,THE GREENERSIDE WEST,749 East Enterprise Drive,Pueblo West,CO,81007,,
THE GREENEST GREEN LLC,THE GREENEST GREEN,"5290 Arapahoe Avenue, Unit J",Boulder,CO,80303,,
THE HEALING CANNA LLC,,3692 East Bijou Street,Colorado Springs,CO,80909,,
THE HEALING CENTER OF COLORADO LLC,THE HEALING CENTER OF COLORADO,1452 Poplar Street,Denver,CO,80220,,
THE HEALING HOUSE LLC,GREEN CROSS CLINIC,4925 Federal Boulevard,Denver,CO,80221,,
THE HERB SHOPPE LLC,THE HERB SHOPPE LLC,"3020 West Colorado Avenue, Suite C & D",Colorado Springs,CO,80904,,
THE HERBAL CENTER LLC,,1909 South Broadway,Denver,CO,80210,,
THE HERBAL CURE LLC,,985 South Logan Street,Denver,CO,80209,,
THE KINE MINE LLC,,2818 Colorado Boulevard,Idaho Springs,CO,80452,,
THE MEDICINE MAN LLC,THE MEDICINE MAN LLC,310 East Main Street,Cortez,CO,81321,,
THE ORGANIC SEED LLC,,2304 East Platte Avenue,Colorado Springs,CO,80909,,
THE ORGANIC SEED LLC,CANNASSEUR,41 North Precision Drive,Pueblo West,CO,81007,,
THE PURPLE DRAGON LLC,,2243 Federal Boulevard,Denver,CO,80211,,
THE RELEAF CENTER LLC,,2000 W 32ND AVE,Denver,CO,80211,,
THE TEA POT LLC,PINK HOUSE MILE HIGH,2008 Federal Boulevard,Denver,CO,80211,,
THIRD DAY APOTHECARY,,4865 North Academy Blvd.,Colorado Springs,CO,80918,,
TIMBERLINE HERBAL CLINIC AND WELLNESS CENTER LLC,,3995 East 50th Avenue,Denver,CO,80216,,
TMED LLC,,7200 Smith Road,Denver,CO,80207,,
TODAYS HEALTH CARE II LLC,TODAYS HEALTH CARE II LLC,2103 East Platte Avenue,Colorado Springs,CO,80909,,
TODAYS HEALTH CARE II LLC,TODAYS HEALTH CARE II LLC,225 South 8th Street,Colorado Springs,CO,80905,,
TODAYS HEALTH CARE LLC,,286 South Purcell Boulevard,Pueblo West,CO,81007,,
TODAYS HEALTH CARE LLC,,975 West Fillmore Street,Colorado Springs,CO,80907,,
TREATMENTS UNLIMITED LLC,ALTITUDE EAST,6858 East Evans Avenue,Denver,CO,80224,,
TREE LINE PREMIER BOULDER LLC,LIVWELL,3000 Folsom Street,Boulder,CO,80304,,
TREE LINE PREMIER NEDERLAND LLC,TREE LINE PREMIER,"40801 US Highway 6 & 24, Suite 5",Avon,CO,81620,,
TREE LINE PREMIER NEDERLAND LLC,NEDICATE,"150 North Jefferson St, Suite B3",Nederland,CO,80466,,
TREE OF WELLNESS INC,TREE OF WELLNESS,"1000 West Fillmore Street, Suite 105",Colorado Springs,CO,80907,,
TRICHOME HEALTH CONSULTANTS,,2117 West Colorado Avenue,Colorado Springs,CO,80904,,
TRILL THERAPEUTICS LLC,TRILL ALTERNATIVES,1537 Pearl Street Suite B,Boulder,CO,80302,,
TRUE EARTH MEDICINE LLC,,1104 East Main Street,Cortez,CO,81321,,
TZ FINANCIAL LLC,HIGH COUNTRY HEALING,"191 Blue River Parkway, Suite 202",Silverthorne,CO,80498,,
UNIQUEITMINDS INC,CHRONORADO MEDICAL,"6625 Leetsdale Drive, Suite A",Denver,CO,80224,,
UNIVERSAL HERBS LLC,,800 Park Avenue West,Denver,CO,80205,,
URBAN CANNABIS LLC,,2383 South Downing Street,Denver,CO,80210,,
URBAN HEALTH & WELLNESS,URBAN DISPENSARY,2675 West 38th Avenue,Denver,CO,80211,,
VERTS LLC,VERTICAL,"1240 West Elizabeth Street, Suite C",Fort Collins,CO,80521,,
VERY BEST MEDICINE LLC,,6853 Leetsdale Drive,Denver,CO,80224,,
VIRTUAL MARKETING LLC,MAGGIES FARM,"3055 East Highway 50, Unit F",Canon City,CO,81212,,
VITA MEDS LLC,MR. NICEGUYS,"2000 South Dahlia Street, Suite 250",Denver,CO,80222,,
VIVA DIVA DI VENTI LLC,DISCREET TREATS,"288 South Academy Boulevard, Suite C",Colorado Springs,CO,80910,,
WALKING RAVEN LLC,,2001 South Broadway,Denver,CO,80210,,
WANNA LLC,STICKY BUDS ALAMEDA,183 West Alameda Avenue,Denver,CO,80223,,
WELLNESS CENTERS OF COLORADO LLC,A-WELLNESS CENTERS,2918 Wood Avenue,Colorado Springs,CO,80907,,
WESTERN REMEDIES LLC,WESTERN REMEDIES,777 Canosa Court #102,Denver,CO,80204,,
WESTERN SLOPE CAREGIVERS LLC,WESTERN SLOPE CAREGIVERS,120 West 4th Street,Rifle,CO,81650,,
WESTSIDE WELLNESS CENTER LLC,MAGGIES FARM,818 E. Filmore,Colorado Springs,CO,80907,,
WHITE MOUNTAIN MEDICINE LLC,LIVWELL,3234 North Nevada Avenue,Colorado Springs,CO,80907,,
WILLOW NORTH LLC,Beacon Wellness Group II,385 North Willow,Mancos,CO,81328,,
WTJ FAMILY ENTERPRISES LLC,WTJ MMJ SUPPLY,1347 North Academy Blvd,Colorado Springs,CO,80909,,
XG PLATINUM INC,,2506 6th Avenue,Garden City,CO,80631,,
